date; machine; nvilles; graine; nthreads; longueur; temps; coupures
Thu Dec 19 15:24:55 2013;ensipc148.imag.fr;15;12387;1;328;109.272418;2939486
Thu Dec 19 15:24:55 2013;ensipc148.imag.fr;16;12387;1;343;240.716745;7011570
Thu Dec 19 15:24:56 2013;ensipc148.imag.fr;17;12387;1;353;980.746631;30185190
Thu Dec 19 15:24:57 2013;ensipc148.imag.fr;18;12387;1;356;5507.336334;171233238
Thu Dec 19 15:25:02 2013;ensipc148.imag.fr;15;12388;1;286;3199.102320;86610798
Thu Dec 19 15:25:05 2013;ensipc148.imag.fr;16;12388;1;319;13968.709306;380068361
Thu Dec 19 15:25:19 2013;ensipc148.imag.fr;17;12388;1;322;28021.213155;778027534
Thu Dec 19 15:25:47 2013;ensipc148.imag.fr;18;12388;1;332;58326.912548;1674660894
Thu Dec 19 15:26:46 2013;ensipc148.imag.fr;15;12387;2;328;64.262581;2939486
Thu Dec 19 15:26:46 2013;ensipc148.imag.fr;16;12387;2;343;157.321896;7011570
Thu Dec 19 15:26:46 2013;ensipc148.imag.fr;17;12387;2;353;607.942574;30189732
Thu Dec 19 15:26:47 2013;ensipc148.imag.fr;18;12387;2;356;3241.185492;171238525
Thu Dec 19 15:26:50 2013;ensipc148.imag.fr;15;12388;2;286;1870.211630;86834907
Thu Dec 19 15:26:52 2013;ensipc148.imag.fr;16;12388;2;319;8188.948057;381068516
Thu Dec 19 15:27:00 2013;ensipc148.imag.fr;17;12388;2;322;16051.667351;779707566
Thu Dec 19 15:27:16 2013;ensipc148.imag.fr;18;12388;2;332;36450.910714;1683550347
Thu Dec 19 15:27:52 2013;ensipc148.imag.fr;15;12387;4;328;57.684228;2939486
Thu Dec 19 15:27:52 2013;ensipc148.imag.fr;16;12387;4;343;143.547078;7011570
Thu Dec 19 15:27:53 2013;ensipc148.imag.fr;17;12387;4;353;505.253793;30206103
Thu Dec 19 15:27:53 2013;ensipc148.imag.fr;18;12387;4;356;2809.541750;171266052
Thu Dec 19 15:27:56 2013;ensipc148.imag.fr;15;12388;4;286;1469.826498;86749652
Thu Dec 19 15:27:57 2013;ensipc148.imag.fr;16;12388;4;319;6060.198498;380737582
Thu Dec 19 15:28:03 2013;ensipc148.imag.fr;17;12388;4;322;12915.740813;778619536
Thu Dec 19 15:28:16 2013;ensipc148.imag.fr;18;12388;4;332;20363.551475;1679636617
Thu Dec 19 15:28:37 2013;ensipc148.imag.fr;15;12387;8;328;50.339865;2939486
Thu Dec 19 15:28:37 2013;ensipc148.imag.fr;16;12387;8;343;104.160466;7011570
Thu Dec 19 15:28:37 2013;ensipc148.imag.fr;17;12387;8;353;500.862203;30194765
Thu Dec 19 15:28:37 2013;ensipc148.imag.fr;18;12387;8;356;2140.829036;171529616
Thu Dec 19 15:28:40 2013;ensipc148.imag.fr;15;12388;8;286;1197.144390;87631153
Thu Dec 19 15:28:41 2013;ensipc148.imag.fr;16;12388;8;319;4756.822510;383026563
Thu Dec 19 15:28:46 2013;ensipc148.imag.fr;17;12388;8;322;9659.4260;782026622
Thu Dec 19 15:28:55 2013;ensipc148.imag.fr;18;12388;8;332;26757.113747;1698831861
Thu Dec 19 15:29:22 2013;ensipc148.imag.fr;15;12387;16;328;38.413103;2939486
Thu Dec 19 15:29:22 2013;ensipc148.imag.fr;16;12387;16;343;95.238546;7011570
Thu Dec 19 15:29:22 2013;ensipc148.imag.fr;17;12387;16;353;340.779483;30201855
Thu Dec 19 15:29:23 2013;ensipc148.imag.fr;18;12387;16;356;2001.135713;171251614
Thu Dec 19 15:29:25 2013;ensipc148.imag.fr;15;12388;16;286;1082.48536;87917799
Thu Dec 19 15:29:26 2013;ensipc148.imag.fr;16;12388;16;319;5351.705314;386991816
Thu Dec 19 15:29:31 2013;ensipc148.imag.fr;17;12388;16;322;9295.574651;788010203
Thu Dec 19 15:29:40 2013;ensipc148.imag.fr;18;12388;16;332;23065.752296;1738943373
Thu Dec 19 15:30:03 2013;ensipc148.imag.fr;15;12387;32;328;34.132962;2939486
Thu Dec 19 15:30:03 2013;ensipc148.imag.fr;16;12387;32;343;86.490765;7011570
Thu Dec 19 15:30:03 2013;ensipc148.imag.fr;17;12387;32;353;337.158409;30200873
Thu Dec 19 15:30:04 2013;ensipc148.imag.fr;18;12387;32;356;1944.516474;171244275
Thu Dec 19 15:30:06 2013;ensipc148.imag.fr;15;12388;32;286;973.359790;89000907
Thu Dec 19 15:30:07 2013;ensipc148.imag.fr;16;12388;32;319;4549.614010;394191874
Thu Dec 19 15:30:11 2013;ensipc148.imag.fr;17;12388;32;322;9710.867087;801594364
Thu Dec 19 15:30:21 2013;ensipc148.imag.fr;18;12388;32;332;19403.424833;1806639218
Thu Dec 19 15:30:40 2013;ensipc148.imag.fr;15;12387;64;328;36.627934;2939509
Thu Dec 19 15:30:40 2013;ensipc148.imag.fr;16;12387;64;343;77.42191;7011957
Thu Dec 19 15:30:41 2013;ensipc148.imag.fr;17;12387;64;353;326.409674;30199402
Thu Dec 19 15:30:41 2013;ensipc148.imag.fr;18;12387;64;356;1837.907802;171257530
Thu Dec 19 15:30:43 2013;ensipc148.imag.fr;15;12388;64;286;966.707636;92223479
Thu Dec 19 15:30:44 2013;ensipc148.imag.fr;16;12388;64;319;4532.33040;408004813
Thu Dec 19 15:30:48 2013;ensipc148.imag.fr;17;12388;64;322;8834.725767;821932018
Thu Dec 19 15:30:57 2013;ensipc148.imag.fr;18;12388;64;332;18739.79869;1857877832
